PlayerName,Club,DistanceCovered(InKms),Goals,MinutestoGoalRatio,ShotsPerGame,AgentCharges,BMI,Cost,PreviousClubCost,Height,Weight,Score,LastName,FirstName,FullName,PlayerID,Goals_x_ShotsPerGame,DistanceCovered(InKms)_x_Goals,Weight_x_DistanceCovered(InKms),BMI_x_DistanceCovered(InKms),Cost_x_Goals,ShotsPerGame_x_MinutestoGoalRatio,GoalToShotRatio,GoalsPerDistance,ShotsPerDistance,ScoringRate,BMI_Category,ScorePerMillion,GoalsPerMillion,CostGrowth,ScoreToAgentRatio,ExpectedScore,ValueAssessment,ValueCategory,Club_CHE,Club_LIV,Club_MUN,ClubMeanScore,ClubEffect,ClubStrengthIndex
"Braund, Mr. Owen Harris",MUN,3.96,7.5,37.5,12.3,60,20.56,109.1,63.32,195.9,78.9,19.75,Braund,Mr. Owen Harris,Mr. Owen Harris Braund,Mr. Owen Harris Braund (MUN),92.25,29.7,312.444,81.4176,818.25,461.25,0.6097560975609756,1.893939393939394,3.1060606060606064,2.4,Normal,0.18102658111824016,0.06874427131072411,1.7229943145925457,0.32916666666666666,21.204055631337297,-1.4540556313372974,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Allen, Mr. William Henry",MUN,4.41,8.3,38.2,12.7,68,20.67,102.8,58.55,189.7,74.4,21.3,Allen,Mr. William Henry,Mr. William Henry Allen,Mr. William Henry Allen (MUN),105.41,36.603,328.10400000000004,91.1547,853.24,485.14,0.6535433070866142,1.8820861678004537,2.879818594104308,2.3560209424083767,Normal,0.20719844357976655,0.08073929961089495,1.7557643040136637,0.31323529411764706,20.00459683581336,1.2954031641866415,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Moran, Mr. James",MUN,4.14,5.0,36.4,11.6,21,21.86,104.6,55.36,177.8,69.1,19.88,Moran,Mr. James,Mr. James Moran,Mr. James Moran (MUN),58.0,20.7,286.07399999999996,90.50039999999998,523.0,422.23999999999995,0.4310344827586207,1.2077294685990339,2.8019323671497585,2.4725274725274726,Normal,0.19005736137667303,0.047801147227533466,1.8894508670520231,0.9466666666666667,20.3472993488202,-0.46729934882020174,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"McCarthy, Mr. Timothy J",MUN,4.11,5.3,37.3,12.6,69,21.88,126.4,57.18,185.0,74.9,23.66,McCarthy,Mr. Timothy J,Mr. Timothy J McCarthy,Mr. Timothy J McCarthy (MUN),66.78,21.783,307.83900000000006,89.9268,669.92,469.97999999999996,0.42063492063492064,1.2895377128953769,3.065693430656934,2.412868632707775,Normal,0.18718354430379747,0.04193037974683544,2.2105631339629244,0.3428985507246377,24.497807561903038,-0.8378075619030376,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Palsson, Master. Gosta Leonard",MUN,4.45,6.8,41.5,14.0,29,18.96,80.3,53.2,184.6,64.6,17.64,Palsson,Master. Gosta Leonard,Master. Gosta Leonard Palsson,Master. Gosta Leonard Palsson (MUN),95.2,30.26,287.46999999999997,84.37200000000001,546.04,581.0,0.4857142857142857,1.5280898876404494,3.1460674157303368,2.1686746987951806,Normal,0.21967621419676217,0.08468244084682441,1.5093984962406013,0.6082758620689656,15.720815423227865,1.9191845767721354,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Saundercock, Mr. William Henry",MUN,4.1,4.4,37.4,12.5,42,21.04,75.2,53.77,174.0,63.7,15.58,Saundercock,Mr. William Henry,Mr. William Henry Saundercock,Mr. William Henry Saundercock (MUN),55.00000000000001,18.04,261.17,86.264,330.88000000000005,467.5,0.35200000000000004,1.0731707317073174,3.048780487804878,2.4064171122994655,Normal,0.20718085106382977,0.05851063829787234,1.398549376976009,0.370952380952381,14.749824969708486,0.8301750302915138,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Andersson, Mr. Anders Johan",MUN,4.31,5.3,39.6,12.8,73,21.69,87.2,60.17,186.2,75.2,19.99,Andersson,Mr. Anders Johan,Mr. Anders Johan Andersson,Mr. Anders Johan Andersson (MUN),67.84,22.842999999999996,324.11199999999997,93.48389999999999,462.16,506.88000000000005,0.41406249999999994,1.2296983758700697,2.969837587006961,2.2727272727272725,Normal,0.22924311926605503,0.060779816513761464,1.4492271896293833,0.27383561643835613,17.034508389754087,2.955491610245911,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Rice, Master. Eugene",MUN,4.42,5.7,39.9,13.2,44,20.62,97.9,48.33,173.8,62.3,22.43,Rice,Master. Eugene,Master. Eugene Rice,Master. Eugene Rice (MUN),75.24,25.194,275.366,91.1404,558.0300000000001,526.68,0.4318181818181819,1.2895927601809956,2.986425339366516,2.255639097744361,Normal,0.22911133810010212,0.05822267620020429,2.0256569418580592,0.5097727272727273,19.071684439294742,3.3583155607052575,Undervalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Williams, Mr. Charles Eugene",MUN,4.3,8.9,41.1,13.5,41,22.64,75.1,54.57,171.4,66.5,17.95,Williams,Mr. Charles Eugene,Mr. Charles Eugene Williams,Mr. Charles Eugene Williams (MUN),120.15,38.27,285.95,97.352,668.39,554.85,0.6592592592592593,2.0697674418604652,3.1395348837209305,2.18978102189781,Normal,0.23901464713715048,0.11850865512649801,1.3762140370166758,0.4378048780487805,14.730785941208104,3.219214058791895,Undervalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Fynney, Mr. Joseph J",MUN,4.51,4.4,41.6,12.7,44,19.44,65.1,53.42,179.9,62.9,15.07,Fynney,Mr. Joseph J,Mr. Joseph J Fynney,Mr. Joseph J Fynney (MUN),55.88,19.844,283.679,87.6744,286.44,528.3199999999999,0.3464566929133859,0.9756097560975611,2.8159645232815964,2.1634615384615383,Normal,0.23149001536098313,0.0675883256528418,1.218644702358667,0.3425,12.826883091170107,2.2431169088298937,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
