PlayerName,Club,DistanceCovered(InKms),Goals,MinutestoGoalRatio,ShotsPerGame,AgentCharges,BMI,Cost,PreviousClubCost,Height,Weight,Score,LastName,FirstName,FullName,PlayerID,Goals_x_ShotsPerGame,DistanceCovered(InKms)_x_Goals,Weight_x_DistanceCovered(InKms),BMI_x_DistanceCovered(InKms),Cost_x_Goals,ShotsPerGame_x_MinutestoGoalRatio,GoalToShotRatio,GoalsPerDistance,ShotsPerDistance,ScoringRate,BMI_Category,ScorePerMillion,GoalsPerMillion,CostGrowth,ScoreToAgentRatio,ExpectedScore,ValueAssessment,ValueCategory,Club_CHE,Club_LIV,Club_MUN,ClubMeanScore,ClubEffect,ClubStrengthIndex
"Braund, Mr. Owen Harris",MUN,-1.718825400464651,0.2173190223320982,-1.5877647674719024,-1.6962852628427894,-0.35537202370696125,-0.8821524776101082,1.2880975763446052,-0.11733306008765207,1.6211862224355331,0.27979518827475125,19.75,Braund,Mr. Owen Harris,Mr. Owen Harris Braund,Mr. Owen Harris Braund (MUN),-0.39282685709611687,-0.41086281906264566,-0.5055375395986803,-1.4699546890983268,1.1513989880685993,-1.5938645199374735,0.937245613927376,0.9702895914494581,0.10151798219808691,1.686296668000407,Normal,-0.6596230098818366,-0.9810348714649237,1.0045474753446266,0.2776521855259135,1.2880975763446048,-0.8824475642098835,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Allen, Mr. William Henry",MUN,-0.6856797500657411,0.6616279707237245,-1.3860141102125347,-1.3938205586233174,-0.18695522025255695,-0.8400773661119836,1.0868442498066064,-0.4823764388079671,0.9838203727291901,-0.043354588644755526,21.3,Allen,Mr. William Henry,Mr. William Henry Allen,Mr. William Henry Allen (MUN),0.05809069128604284,0.3175142196199004,-0.3226561086478622,-0.931613968751994,1.2766364740340386,-1.3680218445713273,1.2835891873414886,0.9397822687092083,-1.5436797152865276,1.4335537247085874,Normal,0.4097938570818805,-0.7622458031417059,1.059383802098052,0.207958122800081,1.0868442498066058,0.7861634330008039,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Moran, Mr. James",MUN,-1.305567140305088,-1.1711464413917325,-1.9048015145937651,-2.225598495226868,-1.176403940547182,-0.3849011599050125,1.1443452002460346,-0.7265039813903158,-0.23951085493297905,-0.4239532147943976,19.88,Moran,Mr. James,Mr. James Moran,Mr. James Moran (MUN),-1.5663774674372244,-1.3605069372928227,-0.8134930526365517,-0.9677886340345335,0.09462940443624832,-1.9626432041582091,-0.4763882619820837,-0.7958479490423315,-2.1100565793507533,2.1031043005405263,Normal,-0.29061340101627603,-1.3630370219620251,1.2830909250728806,2.978994056779181,1.1443452002460344,-0.28359793341881673,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"McCarthy, Mr. Timothy J",MUN,-1.374443516998347,-1.004530585744873,-1.645407812403151,-1.4694367346781854,-0.16590311982075642,-0.3772511396326266,1.840745600012444,-0.5872211828010133,0.500655938274384,-0.007449057875921445,23.66,McCarthy,Mr. Timothy J,Mr. Timothy J McCarthy,Mr. Timothy J McCarthy (MUN),-1.265537340173139,-1.2462330950657912,-0.5593158914204241,-0.9995015914028104,0.6204908345031914,-1.5113359910154784,-0.5586456505410736,-0.5852934145799655,-0.19202601280893952,1.7602513247123774,Normal,-0.40804136224063814,-1.470119699493171,1.8204306527906988,0.33772427196638727,1.840745600012444,-0.508454577902223,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Palsson, Master. Gosta Leonard",MUN,-0.5938445811413936,-0.17145130751057452,-0.434903868846949,-0.41081026991002934,-1.0079871370927778,-1.494154099400994,0.3680823693137532,-0.8918066434523448,0.4595355608739743,-0.7471029917139044,17.64,Palsson,Master. Gosta Leonard,Master. Gosta Leonard Palsson,Master. Gosta Leonard Palsson (MUN),-0.2917473154754958,-0.35177385170610104,-0.7971902124317404,-1.3066130551219668,0.17709501394307076,-0.46181511118502305,-0.04388757161139806,0.02868189476033199,0.39244145208421694,0.3568948871057469,Normal,0.9196520446501301,-0.6903229884816028,0.6471225785039697,1.4986551915049255,0.36808236931375266,1.164728307873725,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Saundercock, Mr. William Henry",MUN,-1.3974023092294354,-1.5043781526854518,-1.6165862899375267,-1.5450529107330533,-0.7343098314793709,-0.698551991072842,0.20516300973537333,-0.8481851076304204,-0.6301544402368668,-0.8117329470978052,15.58,Saundercock,Mr. William Henry,Mr. William Henry Saundercock,Mr. William Henry Saundercock (MUN),-1.669170221627686,-1.6411795322364082,-1.1043282478089123,-1.2020089488793226,-0.5930135165034542,-1.5347805215683477,-1.101527097685443,-1.1421694285921127,-0.31501437556831174,1.7231751264944764,Normal,0.4090750036451867,-1.167696126145889,0.4616309554763042,0.46044975576109737,0.20516300973537294,0.503822493142752,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Andersson, Mr. Anders Johan",MUN,-0.9152676723766111,-1.004530585744873,-0.9825127956938015,-1.318204382568448,-0.08169471809355427,-0.4499263322202935,0.5885026793315618,-0.3583994422614447,0.6240170704756102,0.014094260585378802,19.99,Andersson,Mr. Anders Johan,Mr. Anders Johan Andersson,Mr. Anders Johan Andersson (MUN),-1.229217233692509,-1.1343861211409039,-0.36927569181233655,-0.8028381314050758,-0.12313134566770495,-1.1625040646441593,-0.6106315083598104,-0.7393053220383367,-0.889075212025942,0.9548739078680222,Normal,1.3105684213803876,-1.1263063623796252,0.5464337016138553,0.03559861020258899,0.5885026793315619,1.7936496488140643,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Rice, Master. Eugene",MUN,-0.6627209578346548,-0.7823761115490598,-0.8960482282969308,-1.015739678348976,-0.6922056306157698,-0.8592024167929491,0.9303138847214965,-1.2645029231940503,-0.6507146289370703,-0.912268433250541,22.43,Rice,Master. Eugene,Master. Eugene Rice,Master. Eugene Rice (MUN),-0.9756617733560364,-0.8863179742565542,-0.9385437782190141,-0.932404581182898,0.22001005986263727,-0.9753259578107697,-0.4701894396385233,-0.585151736247952,-0.7684515853510857,0.8566699927052444,Normal,1.305183668888074,-1.172948548856747,1.5110141241890822,1.0677391713028477,0.9303138847214966,2.0381182965241424,Undervalued,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Williams, Mr. Charles Eugene",MUN,-0.9382264646076975,0.9948596820174437,-0.5501899587094439,-0.7888911501843706,-0.7553619319111714,-0.08655036928195481,0.20196851248873815,-0.7869618994592986,-0.8974368933395256,-0.6106619747923344,17.95,Williams,Mr. Charles Eugene,Mr. Charles Eugene Williams,Mr. Charles Eugene Williams (MUN),0.5631457568751796,0.49340941351875667,-0.81494115592122,-0.5889802332247503,0.6150146026218791,-0.7090225603614452,1.3288006388677365,1.42282824563865,0.3449378671943524,0.47819067003409244,Normal,1.7098459560501929,-0.07333353902395315,0.42425566113551505,0.752905544594039,0.2019685124887377,1.9536993933570816,Undervalued,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Fynney, Mr. Joseph J",MUN,-0.45609182775487317,-1.5043781526854518,-0.40608234638132473,-1.3938205586233174,-0.6922056306157698,-1.3105536128637278,-0.11748121217475217,-0.8749702612052864,-0.023628873580831725,-0.86918179632794,15.07,Fynney,Mr. Joseph J,Mr. Joseph J Fynney,Mr. Joseph J Fynney (MUN),-1.639017680398484,-1.450828644537826,-0.8414624668847774,-1.124031342407532,-0.7520747876181765,-0.9598223166387112,-1.1453729788390605,-1.3932676642026374,-2.008016861973666,0.32693541187524816,Normal,1.4023795634327851,-1.0021192963775964,0.16058381765123922,0.3359807549456875,-0.11748121217475223,1.3613186523093754,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Beesley, Mr. Lawrence",MUN,0.003084016866864755,-1.004530585744873,-0.46372539131257323,-0.41081026991002934,-0.818518233206573,1.103027783074081,2.9172911721284067,0.28138308312677984,1.3641838636829762,1.5293076590301768,28.83,Beesley,Mr. Lawrence,Mr. Lawrence Beesley,Mr. Lawrence Beesley (MUN),-1.0112965948087296,-0.9106921732911286,1.1426025286425685,0.7340792617221947,1.2597782700072535,-0.475049926819707,-0.8913551405809859,-1.0080904344179162,-0.870447907909365,0.3869990941006441,Overweight,-0.6985077853627918,-1.6311070328204516,2.0306728774140166,2.15663797607803,2.917291172128407,-1.2647284830322993,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Sloper, Mr. William Thompson",MUN,-0.20354511321291682,0.10624178523419164,0.22799114786239852,0.11850296247404805,-1.0711434383881795,-0.6373518288937533,0.25627496568153163,-0.2298307051020886,0.8810194292281672,0.035637579046679045,18.08,Sloper,Mr. William Thompson,Mr. William Thompson Sloper,Mr. William Thompson Sloper (MUN),0.12319276894000228,0.013944649825653526,-0.08084621661289249,-0.5562499843369884,0.22935186718958167,0.13242811081229575,0.042204371902972715,0.16250874150109837,0.6524156166633172,-0.29756232523537485,Normal,1.5628277219524958,-0.5011809238117069,0.19918700006961199,1.8797248638680615,0.2562749656815311,1.8361675283472472,Undervalued,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
"Emir, Mr. Farred Chehab",MUN,-0.8234325034522636,0.3839348779789578,-0.46372539131257323,-0.3351940938551613,-0.9869350366609773,-0.3198759875897301,1.566018836801842,-1.265268213296189,-1.1338790633918792,-0.862000690174173,23.3,Emir,Mr. Farred Chehab,Mr. Farred Chehab Emir,Mr. Farred Chehab Emir (MUN),0.2146783201695135,0.0354699165055376,-0.9539123582401687,-0.673100290121254,1.511434389990964,-0.4359126862999982,0.48983668459072516,0.7107623790165843,1.085535136173918,0.3869990941006441,Normal,0.02546966826322835,-1.027188392400121,2.200872682640315,2.235304796677067,1.5660188368018422,0.26675653819853035,Fair Value,False,False,True,1.5200169580528478,1.5200169580528475,-1.021786137880226
